index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1146,2016,"63,981 kms",First Owner,Diesel,Automatic,Bangalore,17.25 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5bhp,3400rpm,7,Red,6 Speed,RWD,,Disc,Drum,,,5,4,4,DOHC,Direct Injection
1147,2014,"72,000 kms",First Owner,Diesel,Automatic,Bangalore,17.5 Lakh*,Audi,15.73 kmpl,1968 CC,174.33 bhp,,5,White,7-Speed S-Tronic,,,,,,,,,,,
1148,2010,"30,000 kms",Second Owner,Diesel,Automatic,Bangalore,17.5 Lakh*,BMW,11.5 kmpl,2993 CC,235 ," 4,000 (PS",5,Blue,6 Speed,,,,Disc,248 kmph,6.3 seconds,4,4,4,null,CRDi
1149,2018,"30,000 kms",First Owner,Diesel,Manual,Bangalore,17.5 Lakh*,Mahindra,15.1 kmpl,2179 CC,152.87 bhp,,7,Brown,6 Speed,FWD,,,,,,,,,,
1150,2012,"60,000 kms",Second Owner,Diesel,Automatic,Bangalore,17.5 Lakh*,Audi,17.68 kmpl,1968 CC,174.33bhp,3750-4200rpm,5,White,8 Speed,,,,,,8.2 Seconds,4,4,4,DOHC,CRDI
1151,2019,"40,000 kms",First Owner,Diesel,Manual,Bangalore,17.5 Lakh*,Tata,17.0 kmpl,1956 CC,167.63 bhp,,5,White,6 Speed,FWD,,,,,,,,,,
1152,2013,"42,679 kms",First Owner,Diesel,Automatic,Bangalore,17.5 Lakh*,Mercedes-Benz,14.84 kmpl,2143 CC,170bhp,3000-4200rpm,5,Silver,7 Speed,RWD,Power,Ventilated Disc,Solid Disc,228km/hr,8.5 seconds,4,4,4,,Direct Injection
1153,2017,"70,041 kms",Second Owner,Diesel,Manual,Bangalore,17.75 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,8,White,5 Speed,RWD,,,,,,,7,4,DOHC,Direct Injection
1154,2017,"59,134 kms",First Owner,Diesel,Manual,Bangalore,17.75 Lakh*,Jeep,17.1 kmpl,1956 CC,170bhp,3750rpm,5,Black,6 Speed,4X2,,Disc,Discs,,,5,4,4,DOHC,CRDI
1155,2020,"12,700 kms",First Owner,Petrol,Automatic,Bangalore,17.75 Lakh*,Kia,16.8 kmpl,1353 CC,138.08 bhp,,5,Grey,7 Speed DCT,2WD,,,,,,,,,,
1156,2015,"46,000 kms",Second Owner,Diesel,Automatic,Bangalore,17.75 Lakh*,Volvo,16.8 kmpl,1969 CC,150bhp,,5,Red,6 Speed,FWD,,,,,,5,5,4,DOHC,Direct Injection
1157,2018,"46,153 kms",First Owner,Diesel,Manual,Bangalore,17.85 Lakh*,Mahindra,15.1 kmpl,2179 CC,152.87bhp,3750rpm,7,White,6 Speed,FWD,,,,,,5,4,4,DOHC,Direct Injection
1158,2014,"44,000 kms",Second Owner,Diesel,Automatic,Bangalore,17.85 Lakh*,Audi,17.11 kmpl,1968 CC,174.33 bhp,,5,Brown,8 Speed,,,,,,,,,,,
1159,2013,"67,000 kms",Third Owner,Diesel,Automatic,Bangalore,17.85 Lakh*,BMW,18.88 kmpl,1995 CC,184bhp,4000rpm,5,Bronze,8 Speed,RWD,,,,,7.4 Seconds,4,4,4,DOHC,CRDi
1160,2014,"35,973 kms",Second Owner,Diesel,Automatic,Bangalore,17.9 Lakh*,Volvo,14.87 kmpl,2400 CC,215bhp,4000rpm,5,White,6 Speed,FWD,,,,,7.6 Seconds,4,5,4,DOHC,CRDI
