index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1845,2012,"78,000 kms",First Owner,Diesel,Automatic,Mumbai,9.8 Lakh*,BMW,17.05 kmpl,1995 CC,184bhp,4000rpm,5,White,8-Speed,RWD,,,,,7.9 Seconds,5,4,4,,CRDi
1846,2019,"45,000 kms",First Owner,Diesel,Manual,Mumbai,9.85 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,Red,5 Speed,FWD,,,,172 kmph,12.36 Seconds,5,4,4,DOHC,CRDi
1847,2020,"27,000 kms",First Owner,Diesel,Manual,Mumbai,9.85 Lakh*,Honda,25.5 kmpl,1498 CC,98.6bhp,3600rpm,5,Brown,6 Speed,,,,,,,5,4,4,DOHC,CRDi
1848,2018,"41,100 kms",First Owner,Petrol,Automatic,Mumbai,9.85 Lakh*,Hyundai,17.0 kmpl,1591 CC,121.3 bhp,,5,White,6 Speed,FWD,,,,,,,,,,
1849,2012,"67,000 kms",First Owner,Petrol,Manual,Mumbai,9.85 Lakh*,Skoda,13.4 kmpl,1798 CC,157.8bhp,4500-6200rpm,5,Blue,6 Speed,,,,Disc,192km/hr,11.8 Seconds,4,4,4,DOHC,Direct Injection
1850,2014,"1,07,000 kms",First Owner,Diesel,Manual,Mumbai,9.9 Lakh*,Toyota,12.99 kmpl,2494 CC,100 bhp,,8,Golden,5 Speed,FWD,,,,,,,,,,
1851,2019,"27,000 kms",First Owner,Petrol,Manual,Mumbai,9.9 Lakh*,Maruti,19.34 kmpl,1462 CC,103bhp,6000rpm,7,Silver,5 Speed,2WD,,,,,,,4,4,DOHC,MPFI
1852,2016,"47,000 kms",First Owner,Petrol,Manual,Mumbai,9.9 Lakh*,Hyundai,13.0 kmpl,1591 CC,121.3 bhp,,5,Red,6 Speed,FWD,,,,,,,,,,
1853,2015,"92,000 kms",First Owner,Diesel,Manual,Mumbai,9.9 Lakh*,Mahindra,15.4 kmpl,2179 CC,120 bhp,,7,White,5 Speed,RWD,,,,,,,,,,
1854,2018,"65,700 kms",First Owner,Diesel,Manual,Mumbai,9.9 Lakh*,Mahindra,16.36 kmpl,2179 CC,120 bhp,,7,White,5 Speed,,,,,,,,,,,
1855,2018,"35,000 kms",First Owner,Diesel,Automatic,Mumbai,9.9 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,Yellow,5 Speed,FWD,,,,,,5,4,4,DOHC,CRDi
1856,2019,"37,176 kms",First Owner,Diesel,Manual,Mumbai,9.9 Lakh*,Mahindra,17.3 kmpl,1497 CC,121 bhp,,8,Purple,6 Speed,,,,,,,,,,,
1857,2019,"34,088 kms",First Owner,Petrol,Automatic,Mumbai,9.9 Lakh*,Honda,15.4 kmpl,1497 CC,117.3bhp,6600rpm,7,Brown,CVT,FWD,,,,,,,4,4,SOHC,
1858,2017,"29,300 kms",First Owner,Petrol,Automatic,Mumbai,9.9 Lakh*,Honda,18.0 kmpl,1497 CC,117.6 bhp,,5,White,CVT,FWD,,,,,,,,,,
1859,2012,"38,500 kms",Second Owner,Petrol,Automatic,Mumbai,9.95 Lakh*,Mercedes-Benz,12.3 kmpl,1796 CC,185bhp,5600rpm,5,White,5 Speed,Two Wheel Drive,,Vacuum assisted hydraulic dual circuit w,Vacuum assisted hydraulic dual circuit w,232km/hr,11.2,4,4,4,,
1860,2018,"36,000 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5 bhp,,5,Red,5 Speed,FWD,,,,,,,,,,
1861,2019,"47,070 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Mahindra,16.55 kmpl,2498 CC,105 bhp,,6,Grey,5 Speed,,,,,,,,,,,
1862,2015,"1,50,213 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Toyota,12.99 kmpl,2494 CC,100 bhp,,8,Silver,5 Speed,FWD,,,,,,,,,,
1863,2019,"12,840 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5 bhp,,5,Orange,5 Speed,FWD,,,,,,,,,,
1864,2018,"61,308 kms",First Owner,Diesel,Automatic,Mumbai,9.95 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,White,5 Speed,FWD,,,Drum,172 kmph,12.36 Seconds,5,4,4,DOHC,CRDi
1865,2015,"1,00,001 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6 bhp,,8,Golden,5 Speed,,,,,,,,,,,
1866,2014,"69,000 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6bhp,3600rpm,8,Blue,5 Speed,RWD,,,,,,5,4,4,DOHC,CRDi
1867,2017,"41,000 kms",First Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Tata,17.6 kmpl,2179 CC,153.86 bhp,,7,Blue,6 Speed,,,,,,,,,,,
1868,2016,"75,000 kms",Second Owner,Diesel,Manual,Mumbai,9.95 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6 bhp,,7,White,5 Speed,,,,,,,,,,,
1869,2018,"44,076 kms",First Owner,Diesel,Automatic,Mumbai,9.99 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,Red,5 Speed,FWD,,,Drum,172 kmph,12.36 Seconds,5,4,4,DOHC,CRDi
1870,2018,"15,000 kms",First Owner,Diesel,Manual,Mumbai,9.99 Lakh*,Ford,21.7 kmpl,1498 CC,98.96 bhp,,5,Blue,5 Speed,FWD,,,,,,,,,,
1871,2014,"71,000 kms",First Owner,Diesel,Manual,Mumbai,9.99 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6 bhp,,7,Blue,5 Speed,RWD,,,,,,,,,,
1872,2011,"60,000 kms",Second Owner,Diesel,Automatic,Mumbai,10 Lakh*,Mercedes-Benz,19.71 kmpl,2143 CC,201.15bhp,3800rpm,5,White,9 Speed,RWD,,,,,6.6 Seconds,4,4,4,DOHC,CRDi
1873,2015,"1,07,000 kms",First Owner,Diesel,Manual,Mumbai,10 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6bhp,3600rpm,8,White,5 Speed,RWD,,,,,,5,4,4,DOHC,Common Rail
1874,2021,"1,400 kms",First Owner,Petrol,Automatic,Mumbai,10 Lakh*,Hyundai,19.65 kmpl,1197 CC,86.80bhp,6000rpm,5,Grey,IVT,,,,,,,5,4,4,,
1875,2020,"8,500 kms",First Owner,Petrol,Manual,Mumbai,10 Lakh*,Mahindra,17.0 kmpl,1197 CC,108.6 bhp,,5,Red,6 Speed,FWD,,,,,,,,,,
1876,2021,"2,600 kms",First Owner,Petrol,Automatic,Mumbai,10 Lakh*,New,16.24 kmpl,999 CC,108.62bhp,5000-5500rpm,5,Grey,6 Speed,,,,Drum,,,4,3,4,DOHC,Direct Injection
1877,2017,"40,000 kms",Second Owner,Diesel,Manual,Mumbai,10 Lakh*,Honda,25.6 kmpl,1498 CC,97.9bhp,3600rpm,5,,6 Speed,FWD,,,,,,,4,4,DOHC,Direct Injection
1878,2014,"30,001 kms",First Owner,Petrol,Automatic,Mumbai,10.11 Lakh*,Skoda,13.7 kmpl,1798 CC,157.75bhp,4500-6200rpm,5,Black,7 Speed,FWD,,,,,9.1 Seconds,4,4,4,DOHC,Direct Injection
